Massimi		
Frequenza	Posizione	Errore
1,069		17,52		0,11
1,065		21,93		0,22
1,06		31,61		0,1
1,055		48,03		0,24
1,053		57,89		0,31
1,051		65,54		0,21
1,05		68,67		0,31
1,049		70,06		0,19
1,048		69,48		0,2
1,047		67,36		0,12
1,046		63,05		0,25
1,045		58,75		0,14
1,043		46,01		0,39
1,04		34,54		0,2
1,035		23,08		0,15
1,025		14,005		0,08625
1,02		11,73		0,07
1,015		10,07		0,11
1,01		8,88		0,1
1,005		7,73		0,00474
1		6,94		0,08
0,995		6,11		0,09
0,98		4,66		0,04

Minimi		
Frequenza	Posizione	Errore
1,069		-18,77		0,05
1,065		-23,3		0,2
1,06		-32,59		0,19
1,055		-49,39		0,14
1,053		-60,4		0,83
1,051		-69,17		0,33
1,05		-72,46		0,25
1,049		-73,7		0,4
1,048		-73,06		0,09
1,047		-70,86		0,34
1,046		-66,55		0,33
1,045		-60,89		0,86
1,043		-47,06		0,2
1,04		-35,53		0,19
1,035		-24,33		0,14	
1,025		-14,84		0,0764
1,02		-12,42		0,07
1,015		-10,75		0,09
1,01		-9,43		0,12
1,005		-8,462		0,00675
1		-7,64		0,1
0,995		-7,01		0,1
0,98		-5,7		0,06
